TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1606202158094	-1.347660	1.738734	-0.212352	0.999776	-0.008573	0.008886	-0.017174	img__0_1606202158082798000.png
1606202158207	-1.347660	1.738734	-0.212352	0.999776	-0.008573	0.008886	-0.017174	img__0_1606202158197084900.png
1606202158324	-1.347660	1.738734	-0.212352	0.999776	-0.008573	0.008886	-0.017174	img__0_1606202158312520300.png
1606202158430	-1.347660	1.738734	-0.212352	0.999776	-0.008573	0.008886	-0.017174	img__0_1606202158423166900.png
1606202158540	-1.347660	1.738734	-0.212352	0.999209	-0.034742	0.009332	-0.016935	img__0_1606202158531779300.png
1606202158649	-1.347660	1.738734	-0.212352	0.997957	-0.060886	0.009772	-0.016685	img__0_1606202158641348000.png
1606202158760	-1.347660	1.738734	-0.212352	0.996022	-0.086989	0.010206	-0.016423	img__0_1606202158751469400.png
1606202158876	-1.347660	1.738734	-0.212352	0.993403	-0.113033	0.010632	-0.016151	img__0_1606202158866815900.png
1606202158985	-1.347660	1.738734	-0.212352	0.990104	-0.138999	0.011051	-0.015867	img__0_1606202158977148900.png
1606202159095	-1.347660	1.738734	-0.212352	0.986126	-0.164870	0.011463	-0.015572	img__0_1606202159087481600.png
1606202159208	-1.347660	1.738734	-0.212352	0.981472	-0.190627	0.011867	-0.015267	img__0_1606202159199681400.png
1606202159319	-1.347660	1.738734	-0.212352	0.976146	-0.216252	0.012262	-0.014951	img__0_1606202159312581800.png
1606202159426	-1.347660	1.738734	-0.212352	0.976146	-0.216252	0.012262	-0.014951	img__0_1606202159417584800.png
1606202159541	-1.347660	1.738734	-0.212352	0.976146	-0.216252	0.012262	-0.014951	img__0_1606202159529313200.png
1606202159651	-1.347660	1.738734	-0.212352	0.976146	-0.216252	0.012262	-0.014951	img__0_1606202159643581300.png
1606202159760	-1.347660	1.738734	-0.212352	0.976146	-0.216252	0.012262	-0.014951	img__0_1606202159752873400.png
1606202159873	-1.347660	1.738734	-0.212352	0.977996	-0.207725	0.012131	-0.015057	img__0_1606202159865040000.png
1606202159983	-1.347660	1.738734	-0.212352	0.983099	-0.182053	0.011733	-0.015370	img__0_1606202159974883600.png
1606202160092	-1.347660	1.738734	-0.212352	0.987527	-0.156256	0.011326	-0.015672	img__0_1606202160083502400.png
1606202160202	-1.347660	1.738734	-0.212352	0.991279	-0.130353	0.010912	-0.015963	img__0_1606202160195521700.png
1606202160310	-1.347660	1.738734	-0.212352	0.994352	-0.104360	0.010491	-0.016243	img__0_1606202160301589100.png
1606202160419	-1.347660	1.738734	-0.212352	0.996743	-0.078296	0.010062	-0.016512	img__0_1606202160412454800.png
1606202160530	-1.347660	1.738734	-0.212352	0.998451	-0.052178	0.009626	-0.016770	img__0_1606202160522649200.png
1606202160639	-1.347660	1.738734	-0.212352	0.999474	-0.026024	0.009184	-0.017016	img__0_1606202160632506300.png
1606202160747	-1.347660	1.738734	-0.212352	0.999813	0.000149	0.008735	-0.017250	img__0_1606202160738185400.png
1606202160857	-1.347660	1.738734	-0.212352	0.999467	0.026321	0.008281	-0.017473	img__0_1606202160849603700.png
1606202160968	-1.347660	1.738734	-0.212352	0.998435	0.052475	0.007821	-0.017684	img__0_1606202160960235200.png
1606202161075	-1.347660	1.738734	-0.212352	0.996719	0.078593	0.007355	-0.017883	img__0_1606202161068505700.png
1606202161190	-1.347660	1.738734	-0.212352	0.994320	0.104658	0.006884	-0.018069	img__0_1606202161179895900.png
1606202161297	-1.347660	1.738734	-0.212352	0.991240	0.130652	0.006409	-0.018243	img__0_1606202161288900100.png
1606202161409	-1.347660	1.738734	-0.212352	0.987480	0.156555	0.005929	-0.018405	img__0_1606202161400099600.png
1606202161518	-1.347660	1.738734	-0.212352	0.983043	0.182351	0.005446	-0.018553	img__0_1606202161510380100.png
1606202161623	-1.347660	1.738734	-0.212352	0.983043	0.182351	0.005446	-0.018553	img__0_1606202161615664700.png
1606202161730	-1.347660	1.738734	-0.212352	0.983043	0.182351	0.005446	-0.018553	img__0_1606202161722584400.png
1606202161840	-1.347660	1.738734	-0.212352	0.983043	0.182351	0.005446	-0.018553	img__0_1606202161833042500.png
1606202161952	-1.347660	1.738734	-0.212352	0.983043	0.182351	0.005446	-0.018553	img__0_1606202161943232000.png
1606202162055	-1.347660	1.738734	-0.212352	0.983043	0.182351	0.005446	-0.018553	img__0_1606202162048243000.png
1606202162169	-1.347660	1.738734	-0.212352	0.983043	0.182351	0.005446	-0.018553	img__0_1606202162160029000.png
1606202162276	-1.347660	1.738734	-0.212352	0.984597	0.173765	0.005607	-0.018505	img__0_1606202162267375700.png
1606202162385	-1.347660	1.738734	-0.212352	0.988808	0.147932	0.006090	-0.018352	img__0_1606202162376345100.png
1606202162494	-1.347660	1.738734	-0.212352	0.992342	0.121998	0.006568	-0.018186	img__0_1606202162485830400.png
1606202162605	-1.347660	1.738734	-0.212352	0.995195	0.095981	0.007042	-0.018008	img__0_1606202162595268900.png
1606202162708	-1.347660	1.738734	-0.212352	0.997367	0.069898	0.007511	-0.017818	img__0_1606202162699489200.png
1606202162820	-1.347660	1.738734	-0.212352	0.998855	0.043766	0.007975	-0.017615	img__0_1606202162812364000.png
1606202162930	-1.347660	1.738734	-0.212352	0.999658	0.017604	0.008433	-0.017400	img__0_1606202162922133000.png
1606202163039	-1.347660	1.738734	-0.212352	0.999776	-0.008570	0.008886	-0.017174	img__0_1606202163031516700.png
1606202163148	-1.347660	1.738734	-0.212352	0.999209	-0.034738	0.009332	-0.016935	img__0_1606202163140764200.png
1606202163259	-1.347660	1.738734	-0.212352	0.997958	-0.060883	0.009772	-0.016685	img__0_1606202163250735700.png
1606202163369	-1.347660	1.738734	-0.212352	0.996022	-0.086986	0.010206	-0.016423	img__0_1606202163360876200.png
1606202163480	-1.347660	1.738734	-0.212352	0.993403	-0.113030	0.010632	-0.016151	img__0_1606202163472284700.png
1606202163589	-1.347660	1.738734	-0.212352	0.990104	-0.138996	0.011051	-0.015867	img__0_1606202163582240800.png
1606202163701	-1.347660	1.738734	-0.212352	0.986126	-0.164867	0.011463	-0.015572	img__0_1606202163691230800.png
1606202163809	-1.347660	1.738734	-0.212352	0.981473	-0.190624	0.011866	-0.015267	img__0_1606202163802011200.png
1606202163920	-1.347660	1.738734	-0.212352	0.976147	-0.216249	0.012262	-0.014951	img__0_1606202163911512400.png
1606202164023	-1.347660	1.738734	-0.212352	0.970152	-0.241727	0.012649	-0.014625	img__0_1606202164016950100.png
1606202164135	-1.347660	1.738734	-0.212352	0.970152	-0.241727	0.012649	-0.014625	img__0_1606202164128178300.png
1606202164241	-1.347660	1.738734	-0.212352	0.970152	-0.241727	0.012649	-0.014625	img__0_1606202164233729700.png
1606202164351	-1.347660	1.738734	-0.212352	0.970152	-0.241727	0.012649	-0.014625	img__0_1606202164343734000.png
1606202164465	-1.347660	1.738734	-0.212352	0.970152	-0.241727	0.012649	-0.014625	img__0_1606202164457065300.png
1606202164574	-1.347660	1.738734	-0.212352	0.970152	-0.241727	0.012649	-0.014625	img__0_1606202164566082000.png
1606202164681	-1.347660	1.738734	-0.212352	0.970152	-0.241727	0.012649	-0.014625	img__0_1606202164672056400.png
1606202164791	-1.347660	1.738734	-0.212352	0.976147	-0.216248	0.012262	-0.014951	img__0_1606202164781577700.png
1606202164900	-1.347660	1.738734	-0.212352	0.981473	-0.190620	0.011866	-0.015267	img__0_1606202164892788400.png
1606202165009	-1.347660	1.738734	-0.212352	0.986127	-0.164863	0.011463	-0.015572	img__0_1606202165001588400.png
1606202165118	-1.347660	1.738734	-0.212352	0.990105	-0.138993	0.011051	-0.015867	img__0_1606202165111211600.png
1606202165226	-1.347660	1.738734	-0.212352	0.993404	-0.113028	0.010632	-0.016151	img__0_1606202165217244700.png
1606202165336	-1.347660	1.738734	-0.212352	0.996022	-0.086986	0.010206	-0.016423	img__0_1606202165329108600.png
1606202165445	-1.347660	1.738734	-0.212352	0.997958	-0.060884	0.009772	-0.016685	img__0_1606202165438239900.png
1606202165555	-1.347660	1.738734	-0.212352	0.999209	-0.034739	0.009332	-0.016935	img__0_1606202165547319200.png
1606202165664	-1.347660	1.738734	-0.212352	0.999776	-0.008571	0.008886	-0.017174	img__0_1606202165656829000.png
1606202165776	-1.347660	1.738734	-0.212352	0.999658	0.017603	0.008433	-0.017400	img__0_1606202165766936500.png
